,Unnamed: 0,trial,weighted_node_coverage,node_coverage,weighted_edge_coverage,edge_coverage,avg_fixation_duration,num_fixations,accuracy,completeness,conciseness,clarity,confidence,max_depth,edges_proportion,path,average_depth,total_score,score_percentile,conf_percentile,conf_perc_diff,conf_abs_perc_diff,total_fixation_time,task,method,participant,study,average_total_score
14,14,7_T4_find,0.4444444444444444,2,0.1666666666666666,1,531.608695652174,46,5.0,1.0,5.0,5.0,5.0,1,1.0,"['Audible:find(String)_0', 'Audible:findFirst(String)_1']",0.9532128209023242,16.0,29.411764705882355,58.82352941176471,29.411764705882355,29.411764705882355,24454.000000000004,openaudible,find,7,1,4.0
15,15,8_T4_find,0.5555555555555555,3,0.1666666666666666,1,540.875,8,4.0,1.0,5.0,5.0,5.0,1,0.1666666666666666,"['Audible:find(String)_0', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1']",0.9757851965736876,15.0,20.58823529411765,58.82352941176471,38.23529411764706,38.23529411764706,4327.0,openaudible,find,8,1,3.75
16,16,9_T4_find,0.5555555555555555,3,0.1666666666666666,1,1067.0697674418602,43,5.0,4.0,4.0,5.0,5.0,1,0.25,"['Audible:find(String)_0', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1']",0.9915613760029512,18.0,67.64705882352942,58.82352941176471,-8.82352941176471,8.82352941176471,45883.99999999999,openaudible,find,9,1,4.5
14,14,7_T4_reallyQuit,0.3225806451612903,2,0.0,0,428.84615384615387,13,5.0,5.0,5.0,5.0,5.0,3,0.0,"['CommandCenter:reallyQuit()_0', 'CommandCenter:execute(Command)_3']",2.995538774692302,20.0,91.1764705882353,73.52941176470588,-17.64705882352942,17.64705882352942,5575.0,openaudible,reallyQuit,7,1,5.0
0,0,10_T4_test,0.4,2,0.0,0,508.6,10,5.0,5.0,5.0,5.0,4.0,2,0.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommandLine()_2']",0.1013948865583659,20.0,90.0,43.333333333333336,-46.666666666666664,46.666666666666664,5086.0,openaudible,test,10,1,5.0
1,1,11_T4_test,0.8,4,0.25,1,362.509433962264,53,4.0,4.0,4.0,4.0,2.0,3,0.9333333333333332,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:run()_3', 'AudibleCLI:doCommandLine()_2']",1.0238592331782232,16.0,40.0,3.3333333333333335,-36.666666666666664,36.666666666666664,19212.999999999993,openaudible,test,11,1,4.0
2,2,12_T4_test,0.4,2,0.25,1,309.875,8,5.0,5.0,4.0,5.0,4.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1']",0.0518681741112186,19.0,73.33333333333334,43.333333333333336,-30.000000000000007,30.000000000000007,2479.0,openaudible,test,12,1,4.75
3,3,22_T4_test,0.8,4,0.5,2,1582.794871794872,39,5.0,4.0,2.0,3.0,4.0,3,0.8181818181818182,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommandLine()_2', 'AudibleCLI:run()_3', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1']",0.2368765755034685,14.0,13.333333333333334,43.333333333333336,30.0,30.0,61729.00000000001,openaudible,test,22,2,3.5
4,4,24_T4_test,0.4,2,0.25,1,311.0,13,4.0,4.0,3.0,2.0,3.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0']",0.2381852551984877,13.0,3.3333333333333335,13.333333333333334,10.0,10.0,4043.0,openaudible,test,24,2,3.25
5,5,26_T4_test,0.4,2,0.25,1,307.7,10,4.0,3.0,5.0,4.0,4.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0']",0.0121301457152947,16.0,40.0,43.333333333333336,3.3333333333333357,3.3333333333333357,3077.0,openaudible,test,26,2,4.0
6,6,27_T4_test,0.4,2,0.25,1,528.6020408163265,98,4.0,5.0,3.0,4.0,4.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0']",0.5011831288893441,16.0,40.0,43.333333333333336,3.3333333333333357,3.3333333333333357,51803.0,openaudible,test,27,2,4.0
7,7,28_T4_test,0.4,2,0.25,1,1452.388888888889,18,5.0,5.0,1.0,4.0,5.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0']",0.0674115615679895,15.0,23.333333333333336,83.33333333333334,60.00000000000001,60.00000000000001,26143.0,openaudible,test,28,2,3.75
8,8,31_T4_test,0.8,4,0.75,3,775.8222222222224,90,5.0,5.0,2.0,4.0,5.0,3,0.9444444444444444,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:doCommandLine()_2', 'AudibleCLI:run()_3', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1']",0.2719061190029384,16.0,40.0,83.33333333333334,43.33333333333334,43.33333333333334,69824.00000000001,openaudible,test,31,2,4.0
9,9,4_T4_test,0.4,2,0.25,1,557.8636363636364,22,4.0,4.0,5.0,5.0,3.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0']",0.5495290310612775,18.0,63.333333333333336,13.333333333333334,-50.0,50.0,12273.0,openaudible,test,4,1,4.5
10,10,5_T4_test,0.4,2,0.25,1,945.0,11,5.0,4.0,5.0,5.0,5.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0']",0.0017352638143267,19.0,73.33333333333334,83.33333333333334,10.0,10.0,10395.0,openaudible,test,5,1,4.75
11,11,6_T4_test,0.4,2,0.25,1,1376.428571428571,28,4.0,2.0,4.0,4.0,5.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0']",0.012659367706981,14.0,13.333333333333334,83.33333333333334,70.00000000000001,70.00000000000001,38539.99999999999,openaudible,test,6,1,3.5
12,12,7_T4_test,0.2,1,0.0,0,499.4,5,5.0,5.0,5.0,5.0,4.0,0,0.0,['AudibleCLI:test(List<Book>)_0'],0.0,20.0,90.0,43.333333333333336,-46.666666666666664,46.666666666666664,2497.0,openaudible,test,7,1,5.0
13,13,8_T4_test,0.4,2,0.25,1,316.57894736842104,19,5.0,5.0,5.0,5.0,5.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0']",0.0007594115840131,20.0,90.0,83.33333333333334,-6.666666666666657,6.666666666666657,6015.0,openaudible,test,8,1,5.0
14,14,9_T4_test,0.6,3,0.25,1,471.5135135135135,37,5.0,5.0,3.0,4.0,4.0,3,0.9047619047619048,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:run()_3', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1']",0.180221313294651,17.0,56.66666666666667,43.333333333333336,-13.333333333333336,13.333333333333336,17446.0,openaudible,test,9,1,4.25
