,Unnamed: 0,trial,weighted_node_coverage,node_coverage,weighted_edge_coverage,edge_coverage,avg_fixation_duration,num_fixations,accuracy,completeness,conciseness,clarity,confidence,max_depth,edges_proportion,path,average_depth,total_score,score_percentile,conf_percentile,conf_perc_diff,conf_abs_perc_diff,total_fixation_time,task,method,participant,study,average_total_score
14,14,7_T4_checkBook,1.0,3,1.0,2,479.2978723404254,47,5.0,5.0,5.0,5.0,4.0,2,0.6666666666666666,"['Book:checkBook()_0', 'Book:has(BookElement)_1', 'Book:get(BookElement)_2', 'Book:checkBook()_0']",0.1534141875867831,20.0,91.1764705882353,29.411764705882355,-61.76470588235295,61.76470588235295,22526.999999999993,openaudible,checkBook,7,1,5.0
1,1,11_T4_find,0.5,2,0.25,1,814.457142857143,70,5.0,4.0,5.0,5.0,5.0,1,1.0,"['Audible:find(String)_0', 'Audible:getBooks()_1']",0.6647450400278455,19.0,91.1764705882353,58.82352941176471,-32.352941176470594,32.352941176470594,57012.000000000015,openaudible,find,11,1,4.75
9,9,3_T4_find,0.3333333333333333,1,0.0,0,355.55223880597015,67,5.0,5.0,4.0,5.0,5.0,0,0.0,['Audible:find(String)_0'],0.0,19.0,91.1764705882353,58.82352941176471,-32.352941176470594,32.352941176470594,23822.0,openaudible,find,3,1,4.75
13,13,6_T4_find,0.5,2,0.25,1,385.1162790697674,43,5.0,4.0,4.0,5.0,5.0,1,1.0,"['Audible:find(String)_0', 'Audible:getBooks()_1']",0.4834856317572583,18.0,67.64705882352942,58.82352941176471,-8.82352941176471,8.82352941176471,16560.0,openaudible,find,6,1,4.5
14,14,7_T4_find,0.3333333333333333,1,0.0,0,531.608695652174,46,5.0,1.0,5.0,5.0,5.0,0,0.0,['Audible:find(String)_0'],0.0,16.0,29.411764705882355,58.82352941176471,29.411764705882355,29.411764705882355,24454.000000000004,openaudible,find,7,1,4.0
15,15,8_T4_find,0.3333333333333333,1,0.0,0,540.875,8,4.0,1.0,5.0,5.0,5.0,0,0.0,['Audible:find(String)_0'],0.0,15.0,20.58823529411765,58.82352941176471,38.23529411764706,38.23529411764706,4327.0,openaudible,find,8,1,3.75
16,16,9_T4_find,0.3333333333333333,1,0.0,0,1067.0697674418602,43,5.0,4.0,4.0,5.0,5.0,0,0.0,['Audible:find(String)_0'],0.0,18.0,67.64705882352942,58.82352941176471,-8.82352941176471,8.82352941176471,45883.99999999999,openaudible,find,9,1,4.5
14,14,7_T4_reallyQuit,0.3,1,0.0,0,428.84615384615387,13,5.0,5.0,5.0,5.0,5.0,0,0.0,['CommandCenter:reallyQuit()_0'],0.0,20.0,91.1764705882353,73.52941176470588,-17.64705882352942,17.64705882352942,5575.0,openaudible,reallyQuit,7,1,5.0
0,0,10_T4_test,0.2909090909090909,1,0.0,0,508.6,10,5.0,5.0,5.0,5.0,4.0,0,0.0,['AudibleCLI:test(List<Book>)_0'],0.0,20.0,90.0,43.333333333333336,-46.666666666666664,46.666666666666664,5086.0,openaudible,test,10,1,5.0
1,1,11_T4_test,0.4,3,0.1025641025641025,1,362.509433962264,53,4.0,4.0,4.0,4.0,2.0,2,0.3333333333333333,"['AudibleCLI:test(List<Book>)_0', 'Audible:checkFileCache()_2', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:println(Object)_1']",0.3867504732921672,16.0,40.0,3.3333333333333335,-36.666666666666664,36.666666666666664,19212.999999999993,openaudible,test,11,1,4.0
2,2,12_T4_test,0.2909090909090909,1,0.0,0,309.875,8,5.0,5.0,4.0,5.0,4.0,0,0.0,['AudibleCLI:test(List<Book>)_0'],0.0,19.0,73.33333333333334,43.333333333333336,-30.000000000000007,30.000000000000007,2479.0,openaudible,test,12,1,4.75
9,9,4_T4_test,0.2909090909090909,1,0.0,0,557.8636363636364,22,4.0,4.0,5.0,5.0,3.0,0,0.0,['AudibleCLI:test(List<Book>)_0'],0.0,18.0,63.333333333333336,13.333333333333334,-50.0,50.0,12273.0,openaudible,test,4,1,4.5
10,10,5_T4_test,0.3272727272727272,2,0.0,0,945.0,11,5.0,4.0,5.0,5.0,5.0,2,0.0,"['AudibleCLI:test(List<Book>)_0', 'Audible:checkFileCache()_2', 'AudibleCLI:test(List<Book>)_0']",0.0684706180069772,19.0,73.33333333333334,83.33333333333334,10.0,10.0,10395.0,openaudible,test,5,1,4.75
11,11,6_T4_test,0.3272727272727272,2,0.0,0,1376.428571428571,28,4.0,2.0,4.0,4.0,5.0,3,0.0,"['AudibleCLI:test(List<Book>)_0', 'Audible:updateFileCache()_3', 'AudibleCLI:test(List<Book>)_0']",0.1860409272030076,14.0,13.333333333333334,83.33333333333334,70.00000000000001,70.00000000000001,38539.99999999999,openaudible,test,6,1,3.5
12,12,7_T4_test,0.2909090909090909,1,0.0,0,499.4,5,5.0,5.0,5.0,5.0,4.0,0,0.0,['AudibleCLI:test(List<Book>)_0'],0.0,20.0,90.0,43.333333333333336,-46.666666666666664,46.666666666666664,2497.0,openaudible,test,7,1,5.0
13,13,8_T4_test,0.3272727272727272,2,0.0,0,316.57894736842104,19,5.0,5.0,5.0,5.0,5.0,2,0.0,"['AudibleCLI:test(List<Book>)_0', 'Audible:checkFileCache()_2', 'AudibleCLI:test(List<Book>)_0']",0.0594218232704187,20.0,90.0,83.33333333333334,-6.666666666666657,6.666666666666657,6015.0,openaudible,test,8,1,5.0
14,14,9_T4_test,0.3636363636363636,2,0.1025641025641025,1,471.5135135135135,37,5.0,5.0,3.0,4.0,4.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:println(Object)_1']",0.0409810076413329,17.0,56.66666666666667,43.333333333333336,-13.333333333333336,13.333333333333336,17446.0,openaudible,test,9,1,4.25
